ID号	TIP
441	Quit campaign?
442	Campaign is locked, can't quit!
443	Sure you want to skip tutorial?
444	Newbie reporting, say hello to everyone?
445	Milord's attack on 【Victor's Path】 halted, Hero ({0})'s troops exhausted, can't march.
446	Milord's attack on 【World Conquest】 halted, Hero ({0})'s troops exhausted, can't march.
447	Hello, first time meeting. Add me as a friend and help me water my tree!
448	No Heroes with troops chosen. Only those with armies may march.
449	Recall marched Heroes?
450	Milord is going to attack 【Victor's Path】({0}) campaign.
451	Milord is going to attack 【World Conquest】({0}) campaign.
452	March queue:  {0}/{1}(Campaigns/quests don't use march queues)
453	Hero ({0}) isn't idle and can't get supplies.
454	Guild War
500	You're not in a Team, Create or Join a Team.
501	Team doesn't exist yet, plz join another team.
502	Team is full, plz join another team.
503	You are still in a team, plz quit first.
504	Someone hasn't deploy heros in your team.
505	Please select one Member at least.
506	The battle is still ongoing.
507	Please select one hero at least.
508	Do you want to end the battle?
509	Your free tries have used up today!
510	Your retry times have used up, and your team will be disbanded.
600	Target is a protected VIP
601	Max mail sent today, send failed
602	Target mail full, send failed
603	Guild Members (Guild mail can send unlimitedly)
604	Personal news maxed, pls clear
605	Friend list full, can upgrade to VIP
606	Target friend list full
607	Your current top-ups total {0} (excluding gifts), continue topping up {1} Diamonds to reach VIP {2}
608	Current max VIP Lv is 5. Higher VIP rights to be released soon, thank you for your support in 【Pocketland】
609	Cancel guild app?
610	Quit guild?
611	Disband guild?
612	Fire this member?
613	Guild roster full
614	Own: {0} force
615	Enemy: {0} force
616	Cavalry (Counters Swordsman, Catapult)
617	Lancer (Counters Cavalry, Swordsman)
618	Swordsman (Counters Archer, Catapult)
619	Archer (Counters Cavalry, Lancer)
620	Catapult (Counters Lancer, Archer)
621	This server is full,please select other servers
622	War ends:
623	War of Valor ({0} Grail)
624	Normal
625	Restore
626	Lord Lv maxed
627	Gem Lv maxed
628	Valor City refresh time:
629	. Loot Holy Grail {0}, {1} gold, {2} citizens
630	. Loot Holy Grail {0}, {1} gold, {2} citizens (Obtained only {3} because pop is full)
631	. Looted of Holy Grail {0}, {1} gold, {2} citizens
632	You're in War of Valor status (own Holy Grail), can't activate truce
633	${0}
634	day(s)
635	War of Valor ended
636	Name must be filled
637	Wrong mail format
638	PW must be alphanumerical
639	PW length too short
640	PW length too long
641	PW do not match
642	Mail account name too long
643	Old PW wrong
644	Mail account registered
645	Edited PW
646	Devices bound
647	Mail already registered
700	Below are some notification content
701	Mine can be harvested
702	Wishing Tree can be harvested
703	Building upgrade done
704	Tech research done
705	Wishing Tree can be watered
709	Go
710	Please manage your kingdom
711	Your heroes await your summons
712	We hope you'll take some time out of your busy schedule to take a look at your kingdom.
800	Last purchase isn't finished,pls wait for a moment
1000	Diamonds
1001	Crystals
1002	Gold
1003	Pop

