ID号	任务描述	存储点	任务	说明	step
50	Tap [Tavern]	1	1	缓慢移动，酒馆	50
51	Tap [Hire Hero]	1	1	招募将领	50
52	[Tavern] will periodically refresh new Heroes. You can also use a [Hero List] to instantly refresh for more powerful Heroes!	1	1	下一步	50
53	Tap [Hire]	1	1	招募	50
54	Now we go to the [Hero] interface to see the fellow we just hired. Close [Tavern] and return to the city	1	1	等通知，关闭酒馆	55
55	Tap [Hero]	1	1	将领	55
56	Equip the Beast Set obtained from the gift just now on the General, and his abilities will greatly increase	1	1	下一步	55
57	Tap [Equip]	1	1	装备	55
58	Let's preview a piece	1	1	装备	55
59	The Hero is equiped! Now we assign troops to him. Close [Equip]	1	1	等通知，关闭装备	60
60	The higher the Hero's [COM] value, the more troops he can lead	1	1	配兵	60
61	Assign troop quantity and tap [Save]	1	1	配兵	60
62	Everything's prepared! Nearby barbarians have caused much trouble to this land. It's time to teach them a lesson. Close [Heroes]	1	1	等通知，关闭将领	63
63	Tap [Quests]	1	1	任务	63
64	Tap [March]	1	1	出征	63
65	Tap [March]	1	1	出征	63
66	Tap the yellow outline and assign the marching Hero	1	1	选将并确定	63
67	Tap [Start]	1	1	出征	63
68	Troop travel takes time, but you can speed it up with just some Crystals or Diamonds. Let's try speeding it up	1	1	等通知，加速	76
69	The marched Heroes has returned! You lose troops and Heroes are wounded in war. We have to find a way to heal those wounded Heroes. Now we go take a look at the "Medical Center"	1	1	等通知，关闭军情	71
70	Close [Quests]	1	1	关闭任务	71
71	Tap [Medical Center]	1	1	缓慢移动，医馆	71
72	Tap [Heal]	1	1	将领医疗	71
73	[Medical Center] Pots replenish some each hour, but you can also use [Pot Packs] for instant restoration	1	1	治疗	71
74	Tap [Heal]				71
75	The wounded Hero is healthy again!	1	1	等通知，关闭医馆	76
76	I trust my lord has grasped the basic commands and controls. You'll figure out the rest of them in time! The fate of the kingdom is in your hands now!	1	1	结束	76
