备注	索引	文件名	索引列	起始行	使用类型(0:服务器客户端都加载,1:服务器,2:客户端,3:客户端服务器都不加载,可能程序会临时加载)"	各列类型(0:I,1:S,2:F)	数据库表格	校验和(由部署工具生成)
任务表	108	quest/quest_list	0	1	0	0*1*1*1*1*0*1*1*1*1*1*0*0*0*0*0*0*0*1*1*0*0*0*0*0*1*0*0*0*1*2*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0*0	excel_quest_list	
副本列表	109	instance/instance_list	0	1	0	0*1*1*1*1*1*1*0*0*0*0*0*0*0*0*1	excel_instance_list	
百战不殆	110	instance/baizhanbudai	0	1	1	0*1*1*0*0*1*0*0	excel_baizhanbudai	
战斗通用配置表	111	etc/combat	0	1	0	0*0*0	excel_combat	
世界金矿基础配置	112	etc/worldgoldmine	0	1	0	0*1*0*1*1*1*1	excel_worldgoldmine	
世界金矿产出表	113	etc/worldgoldmine_out	0	1	0	0*2	excel_worldgoldmine_out	
战斗（世界金矿）兵力配置	114	etc/worldgoldmine_combat	0	1	1	0*1	excel_worldgoldmine_combat	
定时（小时）事件	115	etc/fixhour	0	1	0	0*1	excel_fixhour	
兵种数据	116	etc/army	0	1	0	0*1*1*2	excel_army	
南征北战	117	instance/nanzhengbeizhan	0	1	1	0*0*1*1*0*0*1*0*0	excel_nanzhengbeizhan	
疗伤效果	118	etc/heal	0	1	0	0*0	excel_heal	
新手引导	119	etc/quest_guide	0	1	2	0*1*0*0*0		
角色名字表	200	etc/player_name	0	1	3			
客户端南征北战配置	201	instance/nanzhengbeizhan_cli	0	1	2			
草药	202	etc/drug	0	1	0	0*0	excel_drug	
武将数量限制	203	etc/hero_num	0	1	0	0*0	excel_hero_num	
杂项定义	204	etc/cmndef	0	1	0	0*0*1	excel_cmndef	
副本介绍	205	instance/instance_tips	0	1	2			
世界名城产出	206	etc/worldcity_out	0	1	1	0*0*0*1	excel_worldcity_out	
世界名城兵力	207	etc/worldcity_combat	0	1	1	0*1*0	excel_worldcity_combat	
世界名城奖励	208	etc/worldcity_bonus	0	1	1	0*0	excel_worldcity_bonus	
新手引导	209	etc/newbie_guide	0	1	2			
武将名字表	210	etc/hero_name_en	0	1	1	1	excel_hero_name_en	
角色名字表	211	etc/player_name_en	0	1	2			
客户端错误提示	212	etc/warn_err_tips	0	1	2			
限免赠送钻石	213	etc/app_gift	0	1	1	0*0*1	excel_app_gift	
联盟送兵配置	214	alliance/alliance_donate_soldier	0	1	0	0*0*2	excel_alliance_donate_soldier	
金币市场等级限制	215	etc/gold_market_level	0	1	0	0*0	excel_gold_market_level	
百战不殆(史诗级)	216	instance/baizhanbudai_epic	0	1	1	0*1*1*0*0*1*0*0	excel_baizhanbudai_epic	
世界资源表	217	etc/world_res	0	1	1	0*0*0*0*0*0*0*0*1*1*1*1		
联盟副本	218	instance/alli_instance	0	1	1	0*1*1*0*0*1*0*0	excel_alli_instance	
竞技场	219	etc/arena	0	1	0	0*0*0*0*0*0	excel_arena	
竞技场奖励	220	etc/arena_reward	0	1	0	0*0	excel_arena_reward	
位置收藏夹	221	etc/position_mark	0	1	0	0	excel_position_mark	
