难度级别	关卡号	部队组合（army1*army2*army3*army4*army5）	部队等级和数量（level*num）	奖励经验	奖励金币	掉落列表和掉率（id*rate*num）	掉落数量	领主经验
12	11	1*4*1*2*3	6*11000	1000	0		0	110
12	12	5*5*5*1*3	6*11500	1000	0		0	115
12	13	5*2*2*4*1	6*12000	1000	0		0	120
12	14	4*5*5*3*2	6*12500	1000	0		0	125
12	15	3*4*3*3*4	6*13000	1000	0		0	130
12	16	1*2*3*4*5	6*13500	1000	0		0	135
12	17	1*2*3*4*5	6*14000	1000	0		0	140
12	18	3*5*1*2*3	6*14500	1000	0		0	145
12	19	5*5*3*3*4	6*15000	1000	0		0	150
12	20	3*3*3*2*1	6*15500	1000	0	1031*15*2*1032*15*2*1033*15*2*1034*15*2*36*4*1*40*4*1*2024*32*5	1	155
13	1	3*5*3*3*4	6*10500	1000	0		0	65
13	2	3*5*3*3*4	6*11000	1000	0		0	70
13	3	1*1*3*3*4	6*11500	1000	0		0	75
13	4	1*2*3*5*3	6*12000	1000	0		0	80
13	5	2*1*5*5*5	6*12500	1000	0		0	85
13	6	2*2*5*3*4	6*13000	1000	0		0	90
13	7	5*5*5*5*5	6*13500	1000	0		0	95
13	8	5*3*4*4*3	6*14000	1000	0		0	100
13	9	3*3*4*2*3	6*14500	1000	0		0	105
13	10	3*5*2*2*4	6*15000	1000	0	1031*25*1*1032*25*1*1033*25*1*1034*25*1	1	110
13	11	3*5*4*2*5	6*15500	1100	0		0	115
13	12	5*5*4*4*3	6*16000	1100	0		0	120
13	13	3*5*2*4*4	6*16500	1100	0		0	125
13	14	5*5*2*4*4	6*17000	1100	0		0	130
13	15	5*3*4*2*2	6*17500	1100	0		0	135
13	16	3*5*4*4*1	6*18000	1100	0		0	140
13	17	2*2*2*2*2	6*18500	1100	0		0	145
13	18	1*3*4*5*3	6*19000	1100	0		0	150
13	19	1*3*5*4*3	6*19500	1100	0		0	155
13	20	3*3*4*5*5	6*20000	1100	0	1031*15*2*1032*15*2*1033*15*2*1034*15*2*39*8*1*2024*32*5	1	160
