建筑ID	名字	等级	建造时间(秒)	建造/升级黄金	建造/升级人口	经验	发展度	数量上限	auto_id_begin	auto_id_end	自动建造
2	University	16	20400	1090	157	750	150	1	2	2	0
2	University	17	24000	1240	177	800	160	1	2	2	0
2	University	18	27600	1390	197	850	170	1	2	2	0
2	University	19	31200	1600	217	900	180	1	2	2	0
2	University	20	34800	1800	237	950	190	1	2	2	0
2	University	21	39600	2100	287	1000	200	1	2	2	0
2	University	22	44400	2500	337	1050	210	1	2	2	0
2	University	23	49200	3000	387	1100	220	1	2	2	0
2	University	24	54000	3600	437	1150	230	1	2	2	0
2	University	25	58800	4500	487	1200	240	1	2	2	0
2	University	26	66000	5500	567	1250	250	1	2	2	0
2	University	27	73200	7000	647	1300	260	1	2	2	0
2	University	28	80400	9000	727	1350	270	1	2	2	0
2	University	29	87600	12000	807	1400	280	1	2	2	0
2	University	30	94800	15000	887	1450	290	1	2	2	0
2	University	31	102000	18000	970	1500	300	1	2	2	0
2	University	32	109200	22000	1060	1550	310	1	2	2	0
2	University	33	116400	26000	1160	1600	320	1	2	2	0
2	University	34	123600	30000	1260	1650	330	1	2	2	0
2	University	35	130800	35000	1370	1700	340	1	2	2	0
2	University	36	138000	40000	1490	1750	350	1	2	2	0
2	University	37	145200	45000	1620	1800	360	1	2	2	0
2	University	38	152400	51000	1760	1850	370	1	2	2	0
2	University	39	159600	58000	1900	1900	380	1	2	2	0
2	University	40	166800	66000	2050	1950	390	1	2	2	0
2	University	41	180000	76000	2300	2000	400	1	2	2	0
2	University	42	198000	86000	2600	2050	410	1	2	2	0
2	University	43	216000	96000	3000	2100	420	1	2	2	0
2	University	44	234000	108000	3500	2150	430	1	2	2	0
2	University	45	252000	120000	4000	2200	440	1	2	2	0
2	University	46	270000	140000	4500	2250	450	1	2	2	0
2	University	47	288000	160000	5000	2300	460	1	2	2	0
2	University	48	306000	190000	6000	2350	470	1	2	2	0
2	University	49	324000	220000	7000	2400	480	1	2	2	0
2	University	50	342000	250000	8000	2450	490	1	2	2	0
3	Tavern	1	1	1	1	1	1	1	3	3	1
3	Tavern	2	10	30	10	50	10	1	3	3	0
3	Tavern	3	30	60	14	100	20	1	3	3	0
3	Tavern	4	60	90	18	150	30	1	3	3	0
3	Tavern	5	240	120	22	200	40	1	3	3	0
3	Tavern	6	480	170	30	250	50	1	3	3	0
3	Tavern	7	1440	220	38	300	60	1	3	3	0
3	Tavern	8	2400	280	46	350	70	1	3	3	0
3	Tavern	9	3600	340	54	400	80	1	3	3	0
3	Tavern	10	4800	400	62	450	90	1	3	3	0
3	Tavern	11	7200	500	77	500	100	1	3	3	0
3	Tavern	12	9600	600	92	550	110	1	3	3	0
3	Tavern	13	12000	700	107	600	120	1	3	3	0
3	Tavern	14	14400	820	122	650	130	1	3	3	0
3	Tavern	15	16800	940	137	700	140	1	3	3	0
3	Tavern	16	20400	1090	157	750	150	1	3	3	0
3	Tavern	17	24000	1240	177	800	160	1	3	3	0
3	Tavern	18	27600	1390	197	850	170	1	3	3	0
3	Tavern	19	31200	1600	217	900	180	1	3	3	0
3	Tavern	20	34800	1800	237	950	190	1	3	3	0
3	Tavern	21	39600	2100	287	1000	200	1	3	3	0
3	Tavern	22	44400	2500	337	1050	210	1	3	3	0
3	Tavern	23	49200	3000	387	1100	220	1	3	3	0
3	Tavern	24	54000	3600	437	1150	230	1	3	3	0
3	Tavern	25	58800	4500	487	1200	240	1	3	3	0
3	Tavern	26	66000	5500	567	1250	250	1	3	3	0
3	Tavern	27	73200	7000	647	1300	260	1	3	3	0
3	Tavern	28	80400	9000	727	1350	270	1	3	3	0
3	Tavern	29	87600	12000	807	1400	280	1	3	3	0
3	Tavern	30	94800	15000	887	1450	290	1	3	3	0
3	Tavern	31	102000	18000	970	1500	300	1	3	3	0
3	Tavern	32	109200	22000	1060	1550	310	1	3	3	0
3	Tavern	33	116400	26000	1160	1600	320	1	3	3	0
3	Tavern	34	123600	30000	1260	1650	330	1	3	3	0
3	Tavern	35	130800	35000	1370	1700	340	1	3	3	0
3	Tavern	36	138000	40000	1490	1750	350	1	3	3	0
3	Tavern	37	145200	45000	1620	1800	360	1	3	3	0
3	Tavern	38	152400	51000	1760	1850	370	1	3	3	0
3	Tavern	39	159600	58000	1900	1900	380	1	3	3	0
3	Tavern	40	166800	66000	2050	1950	390	1	3	3	0
3	Tavern	41	180000	76000	2300	2000	400	1	3	3	0
3	Tavern	42	198000	86000	2600	2050	410	1	3	3	0
3	Tavern	43	216000	96000	3000	2100	420	1	3	3	0
3	Tavern	44	234000	108000	3500	2150	430	1	3	3	0
3	Tavern	45	252000	120000	4000	2200	440	1	3	3	0
3	Tavern	46	270000	140000	4500	2250	450	1	3	3	0
3	Tavern	47	288000	160000	5000	2300	460	1	3	3	0
3	Tavern	48	306000	190000	6000	2350	470	1	3	3	0
3	Tavern	49	324000	220000	7000	2400	480	1	3	3	0
3	Tavern	50	342000	250000	8000	2450	490	1	3	3	0
4	Training Field	1	1	1	1	1	1	1	4	4	1
4	Training Field	2	10	30	10	50	10	1	4	4	0
4	Training Field	3	30	60	14	100	20	1	4	4	0
4	Training Field	4	60	90	18	150	30	1	4	4	0
4	Training Field	5	240	120	22	200	40	1	4	4	0
4	Training Field	6	480	170	30	250	50	1	4	4	0
4	Training Field	7	1440	220	38	300	60	1	4	4	0
4	Training Field	8	2400	280	46	350	70	1	4	4	0
4	Training Field	9	3600	340	54	400	80	1	4	4	0
4	Training Field	10	4800	400	62	450	90	1	4	4	0
4	Training Field	11	7200	500	77	500	100	1	4	4	0
4	Training Field	12	9600	600	92	550	110	1	4	4	0
4	Training Field	13	12000	700	107	600	120	1	4	4	0
4	Training Field	14	14400	820	122	650	130	1	4	4	0
4	Training Field	15	16800	940	137	700	140	1	4	4	0
4	Training Field	16	20400	1090	157	750	150	1	4	4	0
4	Training Field	17	24000	1240	177	800	160	1	4	4	0
4	Training Field	18	27600	1390	197	850	170	1	4	4	0
4	Training Field	19	31200	1600	217	900	180	1	4	4	0
4	Training Field	20	34800	1800	237	950	190	1	4	4	0
4	Training Field	21	39600	2100	287	1000	200	1	4	4	0
4	Training Field	22	44400	2500	337	1050	210	1	4	4	0
4	Training Field	23	49200	3000	387	1100	220	1	4	4	0
4	Training Field	24	54000	3600	437	1150	230	1	4	4	0
4	Training Field	25	58800	4500	487	1200	240	1	4	4	0
4	Training Field	26	66000	5500	567	1250	250	1	4	4	0
4	Training Field	27	73200	7000	647	1300	260	1	4	4	0
4	Training Field	28	80400	9000	727	1350	270	1	4	4	0
4	Training Field	29	87600	12000	807	1400	280	1	4	4	0
4	Training Field	30	94800	15000	887	1450	290	1	4	4	0
4	Training Field	31	102000	18000	970	1500	300	1	4	4	0
4	Training Field	32	109200	22000	1060	1550	310	1	4	4	0
4	Training Field	33	116400	26000	1160	1600	320	1	4	4	0
4	Training Field	34	123600	30000	1260	1650	330	1	4	4	0
4	Training Field	35	130800	35000	1370	1700	340	1	4	4	0
4	Training Field	36	138000	40000	1490	1750	350	1	4	4	0
4	Training Field	37	145200	45000	1620	1800	360	1	4	4	0
4	Training Field	38	152400	51000	1760	1850	370	1	4	4	0
4	Training Field	39	159600	58000	1900	1900	380	1	4	4	0
4	Training Field	40	166800	66000	2050	1950	390	1	4	4	0
4	Training Field	41	180000	76000	2300	2000	400	1	4	4	0
4	Training Field	42	198000	86000	2600	2050	410	1	4	4	0
4	Training Field	43	216000	96000	3000	2100	420	1	4	4	0
4	Training Field	44	234000	108000	3500	2150	430	1	4	4	0
4	Training Field	45	252000	120000	4000	2200	440	1	4	4	0
4	Training Field	46	270000	140000	4500	2250	450	1	4	4	0
4	Training Field	47	288000	160000	5000	2300	460	1	4	4	0
4	Training Field	48	306000	190000	6000	2350	470	1	4	4	0
4	Training Field	49	324000	220000	7000	2400	480	1	4	4	0
4	Training Field	50	342000	250000	8000	2450	490	1	4	4	0
5	Embassy	1	1	1	1	1	1	1	5	5	1
5	Embassy	2	10	30	10	50	10	1	5	5	0
5	Embassy	3	30	60	14	100	20	1	5	5	0
5	Embassy	4	60	90	18	150	30	1	5	5	0
5	Embassy	5	240	120	22	200	40	1	5	5	0
5	Embassy	6	480	170	30	250	50	1	5	5	0
5	Embassy	7	1440	220	38	300	60	1	5	5	0
5	Embassy	8	2400	280	46	350	70	1	5	5	0
5	Embassy	9	3600	340	54	400	80	1	5	5	0
5	Embassy	10	4800	400	62	450	90	1	5	5	0
5	Embassy	11	7200	500	77	500	100	1	5	5	0
5	Embassy	12	9600	600	92	550	110	1	5	5	0
5	Embassy	13	12000	700	107	600	120	1	5	5	0
5	Embassy	14	14400	820	122	650	130	1	5	5	0
5	Embassy	15	16800	940	137	700	140	1	5	5	0
5	Embassy	16	20400	1090	157	750	150	1	5	5	0
5	Embassy	17	24000	1240	177	800	160	1	5	5	0
5	Embassy	18	27600	1390	197	850	170	1	5	5	0
5	Embassy	19	31200	1600	217	900	180	1	5	5	0
5	Embassy	20	34800	1800	237	950	190	1	5	5	0
5	Embassy	21	39600	2100	287	1000	200	1	5	5	0
5	Embassy	22	44400	2500	337	1050	210	1	5	5	0
5	Embassy	23	49200	3000	387	1100	220	1	5	5	0
5	Embassy	24	54000	3600	437	1150	230	1	5	5	0
5	Embassy	25	58800	4500	487	1200	240	1	5	5	0
5	Embassy	26	66000	5500	567	1250	250	1	5	5	0
5	Embassy	27	73200	7000	647	1300	260	1	5	5	0
5	Embassy	28	80400	9000	727	1350	270	1	5	5	0
5	Embassy	29	87600	12000	807	1400	280	1	5	5	0
5	Embassy	30	94800	15000	887	1450	290	1	5	5	0
5	Embassy	31	102000	18000	970	1500	300	1	5	5	0
5	Embassy	32	109200	22000	1060	1550	310	1	5	5	0
5	Embassy	33	116400	26000	1160	1600	320	1	5	5	0
5	Embassy	34	123600	30000	1260	1650	330	1	5	5	0
5	Embassy	35	130800	35000	1370	1700	340	1	5	5	0
5	Embassy	36	138000	40000	1490	1750	350	1	5	5	0
5	Embassy	37	145200	45000	1620	1800	360	1	5	5	0
5	Embassy	38	152400	51000	1760	1850	370	1	5	5	0
5	Embassy	39	159600	58000	1900	1900	380	1	5	5	0
5	Embassy	40	166800	66000	2050	1950	390	1	5	5	0
5	Embassy	41	180000	76000	2300	2000	400	1	5	5	0
5	Embassy	42	198000	86000	2600	2050	410	1	5	5	0
5	Embassy	43	216000	96000	3000	2100	420	1	5	5	0
5	Embassy	44	234000	108000	3500	2150	430	1	5	5	0
5	Embassy	45	252000	120000	4000	2200	440	1	5	5	0
5	Embassy	46	270000	140000	4500	2250	450	1	5	5	0
5	Embassy	47	288000	160000	5000	2300	460	1	5	5	0
5	Embassy	48	306000	190000	6000	2350	470	1	5	5	0
5	Embassy	49	324000	220000	7000	2400	480	1	5	5	0
5	Embassy	50	342000	250000	8000	2450	490	1	5	5	0
6	Medical Center	1	1	1	1	1	1	1	6	6	1
6	Medical Center	2	10	30	10	50	10	1	6	6	0
6	Medical Center	3	30	60	14	100	20	1	6	6	0
6	Medical Center	4	60	90	18	150	30	1	6	6	0
6	Medical Center	5	240	120	22	200	40	1	6	6	0
6	Medical Center	6	480	170	30	250	50	1	6	6	0
6	Medical Center	7	1440	220	38	300	60	1	6	6	0
6	Medical Center	8	2400	280	46	350	70	1	6	6	0
6	Medical Center	9	3600	340	54	400	80	1	6	6	0
6	Medical Center	10	4800	400	62	450	90	1	6	6	0
6	Medical Center	11	7200	500	77	500	100	1	6	6	0
6	Medical Center	12	9600	600	92	550	110	1	6	6	0
6	Medical Center	13	12000	700	107	600	120	1	6	6	0
6	Medical Center	14	14400	820	122	650	130	1	6	6	0
6	Medical Center	15	16800	940	137	700	140	1	6	6	0
6	Medical Center	16	20400	1090	157	750	150	1	6	6	0
6	Medical Center	17	24000	1240	177	800	160	1	6	6	0
6	Medical Center	18	27600	1390	197	850	170	1	6	6	0
6	Medical Center	19	31200	1600	217	900	180	1	6	6	0
6	Medical Center	20	34800	1800	237	950	190	1	6	6	0
6	Medical Center	21	39600	2100	287	1000	200	1	6	6	0
6	Medical Center	22	44400	2500	337	1050	210	1	6	6	0
6	Medical Center	23	49200	3000	387	1100	220	1	6	6	0
6	Medical Center	24	54000	3600	437	1150	230	1	6	6	0
6	Medical Center	25	58800	4500	487	1200	240	1	6	6	0
6	Medical Center	26	66000	5500	567	1250	250	1	6	6	0
6	Medical Center	27	73200	7000	647	1300	260	1	6	6	0
6	Medical Center	28	80400	9000	727	1350	270	1	6	6	0
6	Medical Center	29	87600	12000	807	1400	280	1	6	6	0
6	Medical Center	30	94800	15000	887	1450	290	1	6	6	0
6	Medical Center	31	102000	18000	970	1500	300	1	6	6	0
6	Medical Center	32	109200	22000	1060	1550	310	1	6	6	0
6	Medical Center	33	116400	26000	1160	1600	320	1	6	6	0
6	Medical Center	34	123600	30000	1260	1650	330	1	6	6	0
6	Medical Center	35	130800	35000	1370	1700	340	1	6	6	0
6	Medical Center	36	138000	40000	1490	1750	350	1	6	6	0
6	Medical Center	37	145200	45000	1620	1800	360	1	6	6	0
6	Medical Center	38	152400	51000	1760	1850	370	1	6	6	0
6	Medical Center	39	159600	58000	1900	1900	380	1	6	6	0
6	Medical Center	40	166800	66000	2050	1950	390	1	6	6	0
6	Medical Center	41	180000	76000	2300	2000	400	1	6	6	0
6	Medical Center	42	198000	86000	2600	2050	410	1	6	6	0
6	Medical Center	43	216000	96000	3000	2100	420	1	6	6	0
6	Medical Center	44	234000	108000	3500	2150	430	1	6	6	0
6	Medical Center	45	252000	120000	4000	2200	440	1	6	6	0
6	Medical Center	46	270000	140000	4500	2250	450	1	6	6	0
6	Medical Center	47	288000	160000	5000	2300	460	1	6	6	0
6	Medical Center	48	306000	190000	6000	2350	470	1	6	6	0
6	Medical Center	49	324000	220000	7000	2400	480	1	6	6	0
6	Medical Center	50	342000	250000	8000	2450	490	1	6	6	0
9	Cottage	1	3	10	5	20	5	8	100	199	0
9	Cottage	2	6	20	6	40	10	8	100	199	0
9	Cottage	3	30	30	7	60	15	8	100	199	0
9	Cottage	4	60	40	8	80	20	8	100	199	0
9	Cottage	5	240	50	9	100	25	8	100	199	0
9	Cottage	6	480	65	11	120	30	8	100	199	0
9	Cottage	7	720	80	13	140	35	8	100	199	0
9	Cottage	8	1440	95	15	160	40	8	100	199	0
9	Cottage	9	2200	110	17	180	45	8	100	199	0
9	Cottage	10	3600	125	19	200	50	8	100	199	0
9	Cottage	11	5400	150	24	220	55	8	100	199	0
9	Cottage	12	7200	175	29	240	60	8	100	199	0
9	Cottage	13	9000	205	34	260	65	8	100	199	0
9	Cottage	14	10800	240	39	280	70	8	100	199	0
9	Cottage	15	12600	290	44	300	75	8	100	199	0
9	Cottage	16	15000	340	54	320	80	8	100	199	0
9	Cottage	17	17400	400	64	340	85	8	100	199	0
9	Cottage	18	19800	500	74	360	90	8	100	199	0
9	Cottage	19	22200	600	84	380	95	8	100	199	0
9	Cottage	20	24600	750	94	400	100	8	100	199	0
9	Cottage	21	28200	900	109	420	105	8	100	199	0
9	Cottage	22	31800	1100	124	440	110	8	100	199	0
9	Cottage	23	35400	1500	139	460	115	8	100	199	0
9	Cottage	24	39000	1900	154	480	120	8	100	199	0
9	Cottage	25	42600	2400	169	500	125	8	100	199	0
9	Cottage	26	47400	3000	194	520	130	8	100	199	0
9	Cottage	27	52200	3600	219	540	135	8	100	199	0
9	Cottage	28	57000	4400	244	560	140	8	100	199	0
9	Cottage	29	61800	5400	269	580	145	8	100	199	0
9	Cottage	30	66600	6600	294	600	150	8	100	199	0
9	Cottage	31	71400	6800	320	620	155	8	100	199	0
9	Cottage	32	76200	8200	350	640	160	8	100	199	0
9	Cottage	33	81000	9800	400	660	165	8	100	199	0
9	Cottage	34	85800	11600	450	680	170	8	100	199	0
9	Cottage	35	90600	13600	500	700	175	8	100	199	0
9	Cottage	36	95400	15600	550	720	180	8	100	199	0
9	Cottage	37	100200	17600	600	740	185	8	100	199	0
9	Cottage	38	105000	19600	650	760	190	8	100	199	0
9	Cottage	39	109800	22000	700	780	195	8	100	199	0
9	Cottage	40	114600	24400	750	800	200	8	100	199	0
9	Cottage	41	133200	28000	850	820	205	8	100	199	0
9	Cottage	42	151200	32000	1000	840	210	8	100	199	0
9	Cottage	43	169200	36000	1200	860	215	8	100	199	0
9	Cottage	44	187200	40000	1500	880	220	8	100	199	0
9	Cottage	45	205200	45000	2000	900	225	8	100	199	0
9	Cottage	46	223200	55000	2500	920	230	8	100	199	0
9	Cottage	47	241200	65000	3000	940	235	8	100	199	0
9	Cottage	48	259200	80000	3500	960	240	8	100	199	0
9	Cottage	49	277200	100000	4000	980	245	8	100	199	0
9	Cottage	50	295200	120000	5000	1000	250	8	100	199	0
10	Barracks	1	3	10	5	20	5	8	200	299	0
10	Barracks	2	10	20	6	40	10	8	200	299	0
10	Barracks	3	30	30	7	60	15	8	200	299	0
10	Barracks	4	60	40	8	80	20	8	200	299	0
10	Barracks	5	240	50	9	100	25	8	200	299	0
10	Barracks	6	480	65	11	120	30	8	200	299	0
10	Barracks	7	720	80	13	140	35	8	200	299	0
10	Barracks	8	1440	95	15	160	40	8	200	299	0
10	Barracks	9	2200	110	17	180	45	8	200	299	0
10	Barracks	10	3600	125	19	200	50	8	200	299	0
10	Barracks	11	5400	150	24	220	55	8	200	299	0
10	Barracks	12	7200	175	29	240	60	8	200	299	0
10	Barracks	13	9000	205	34	260	65	8	200	299	0
10	Barracks	14	10800	240	39	280	70	8	200	299	0
10	Barracks	15	12600	290	44	300	75	8	200	299	0
10	Barracks	16	15000	340	54	320	80	8	200	299	0
10	Barracks	17	17400	400	64	340	85	8	200	299	0
10	Barracks	18	19800	500	74	360	90	8	200	299	0
10	Barracks	19	22200	600	84	380	95	8	200	299	0
10	Barracks	20	24600	750	94	400	100	8	200	299	0
10	Barracks	21	28200	900	109	420	105	8	200	299	0
10	Barracks	22	31800	1100	124	440	110	8	200	299	0
10	Barracks	23	35400	1500	139	460	115	8	200	299	0
10	Barracks	24	39000	1900	154	480	120	8	200	299	0
10	Barracks	25	42600	2400	169	500	125	8	200	299	0
10	Barracks	26	47400	3000	194	520	130	8	200	299	0
10	Barracks	27	52200	3600	219	540	135	8	200	299	0
10	Barracks	28	57000	4400	244	560	140	8	200	299	0
10	Barracks	29	61800	5400	269	580	145	8	200	299	0
10	Barracks	30	66600	6600	294	600	150	8	200	299	0
10	Barracks	31	71400	6800	320	620	155	8	200	299	0
10	Barracks	32	76200	8200	350	640	160	8	200	299	0
10	Barracks	33	81000	9800	400	660	165	8	200	299	0
10	Barracks	34	85800	11600	450	680	170	8	200	299	0
10	Barracks	35	90600	13600	500	700	175	8	200	299	0
10	Barracks	36	95400	15600	550	720	180	8	200	299	0
10	Barracks	37	100200	17600	600	740	185	8	200	299	0
10	Barracks	38	105000	19600	650	760	190	8	200	299	0
10	Barracks	39	109800	22000	700	780	195	8	200	299	0
10	Barracks	40	114600	24400	750	800	200	8	200	299	0
10	Barracks	41	133200	28000	850	820	205	8	200	299	0
10	Barracks	42	151200	32000	1000	840	210	8	200	299	0
10	Barracks	43	169200	36000	1200	860	215	8	200	299	0
10	Barracks	44	187200	40000	1500	880	220	8	200	299	0
10	Barracks	45	205200	45000	2000	900	225	8	200	299	0
10	Barracks	46	223200	55000	2500	920	230	8	200	299	0
10	Barracks	47	241200	65000	3000	940	235	8	200	299	0
10	Barracks	48	259200	80000	3500	960	240	8	200	299	0
10	Barracks	49	277200	100000	4000	980	245	8	200	299	0
10	Barracks	50	295200	120000	5000	1000	250	8	200	299	0
11	Mine	1	3	10	5	20	5	8	300	399	0
11	Mine	2	10	20	6	40	10	8	300	399	0
11	Mine	3	30	30	7	60	15	8	300	399	0
11	Mine	4	60	40	8	80	20	8	300	399	0
11	Mine	5	240	50	9	100	25	8	300	399	0
11	Mine	6	480	65	11	120	30	8	300	399	0
11	Mine	7	720	80	13	140	35	8	300	399	0
11	Mine	8	1440	95	15	160	40	8	300	399	0
11	Mine	9	2200	110	17	180	45	8	300	399	0
11	Mine	10	3600	125	19	200	50	8	300	399	0
11	Mine	11	5400	150	24	220	55	8	300	399	0
11	Mine	12	7200	175	29	240	60	8	300	399	0
11	Mine	13	9000	205	34	260	65	8	300	399	0
11	Mine	14	10800	240	39	280	70	8	300	399	0
11	Mine	15	12600	290	44	300	75	8	300	399	0
11	Mine	16	15000	340	54	320	80	8	300	399	0
11	Mine	17	17400	400	64	340	85	8	300	399	0
11	Mine	18	19800	500	74	360	90	8	300	399	0
11	Mine	19	22200	600	84	380	95	8	300	399	0
11	Mine	20	24600	750	94	400	100	8	300	399	0
11	Mine	21	28200	900	109	420	105	8	300	399	0
11	Mine	22	31800	1100	124	440	110	8	300	399	0
11	Mine	23	35400	1500	139	460	115	8	300	399	0
11	Mine	24	39000	1900	154	480	120	8	300	399	0
11	Mine	25	42600	2400	169	500	125	8	300	399	0
11	Mine	26	47400	3000	194	520	130	8	300	399	0
11	Mine	27	52200	3600	219	540	135	8	300	399	0
11	Mine	28	57000	4400	244	560	140	8	300	399	0
11	Mine	29	61800	5400	269	580	145	8	300	399	0
11	Mine	30	66600	6600	294	600	150	8	300	399	0
11	Mine	31	71400	6800	320	620	155	8	300	399	0
11	Mine	32	76200	8200	350	640	160	8	300	399	0
11	Mine	33	81000	9800	400	660	165	8	300	399	0
11	Mine	34	85800	11600	450	680	170	8	300	399	0
11	Mine	35	90600	13600	500	700	175	8	300	399	0
11	Mine	36	95400	15600	550	720	180	8	300	399	0
11	Mine	37	100200	17600	600	740	185	8	300	399	0
11	Mine	38	105000	19600	650	760	190	8	300	399	0
11	Mine	39	109800	22000	700	780	195	8	300	399	0
11	Mine	40	114600	24400	750	800	200	8	300	399	0
11	Mine	41	133200	28000	850	820	205	8	300	399	0
11	Mine	42	151200	32000	1000	840	210	8	300	399	0
11	Mine	43	169200	36000	1200	860	215	8	300	399	0
11	Mine	44	187200	40000	1500	880	220	8	300	399	0
11	Mine	45	205200	45000	2000	900	225	8	300	399	0
11	Mine	46	223200	55000	2500	920	230	8	300	399	0
11	Mine	47	241200	65000	3000	940	235	8	300	399	0
11	Mine	48	259200	80000	3500	960	240	8	300	399	0
11	Mine	49	277200	100000	4000	980	245	8	300	399	0
11	Mine	50	295200	120000	5000	1000	250	8	300	399	0
12	Wishing Tree	1	1	1	1	1	1	1	400	400	1
